"","site","lat","long","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type"
"100","Morris & Point Breeze",39.9309466,-75.182994,2023-09-06 09:37:00,2023-09-20 11:52:00,0.195,"REG",0.455,"REG",0.104,"REG",0.893,"REG",1.647,"REG",0.741,"REG",0.152,"REG",0.121,"REG",0.173,"REG",0.109,"REG",0.117,"REG",0.091,"REG",0.043,"REG",0.015,"REG",0.029,"REG",0.03,"LOD",0.064,"REG",0.03,"REG",0.08,"REG",0.083,"REG",0.02,"REG",0.132,"REG",0.111,"REG",0.124,"REG","stationary"
"101","25th & Point Breeze",39.9277176,-75.187397,2023-09-06 09:45:00,2023-09-20 12:01:00,0.159,"REG",0.48,"REG",0.104,"REG",0.89,"REG",1.633,"REG",0.741,"REG",0.149,"REG",0.114,"REG",0.165,"REG",0.139,"REG",0.132,"REG",0.105,"REG",0.054,"REG",0.047,"REG",0.041,"REG",0.027,"LOD",0.058,"REG",0.026,"REG",0.058,"REG",0.073,"REG",0.018,"REG",0.027,"REG",0.054,"REG",0.034,"LOD","stationary"
"102","25th & Point Breeze",39.9277176,-75.187397,2023-08-30 10:31:00,2023-09-06 09:45:00,0.194,"REG",0.411,"REG",0.099,"REG",0.714,"REG",1.418,"REG",0.562,"REG",0.152,"REG",0.043,"REG",0.18,"REG",0.153,"REG",0.143,"REG",0.151,"REG",0.038,"REG",0.013,"REG",0.036,"REG",0.03,"LOD",0.066,"REG",0.026,"LOD",0.064,"REG",0.083,"REG",0.022,"LOD",0.021,"LOD",0.1,"REG",0.015,"ND","stationary"
"103","Morris & Point Breeze",39.9309466,-75.182994,2023-08-30 10:37:00,2023-09-06 09:37:00,0.263,"REG",0.505,"REG",0.124,"REG",0.893,"REG",1.785,"REG",0.699,"REG",0.194,"REG",0.048,"REG",0.24,"REG",0.16,"REG",0.156,"REG",0.14,"REG",0.038,"REG",0.013,"REG",0.05,"REG",0.042,"LOD",0.091,"REG",0.03,"REG",0.118,"REG",0.1,"REG",0.033,"REG",0.037,"REG",0.22,"REG",0.169,"REG","stationary"
"104","Wharton Park",39.93592,-75.18309,2023-08-30 10:45:00,2023-09-06 09:29:00,0.188,"REG",0.328,"REG",0.085,"REG",0.557,"REG",1.158,"REG",0.436,"REG",0.121,"REG",0.048,"REG",0.114,"REG",0.08,"REG",0.085,"REG",0.07,"LOD",0.034,"REG",0.013,"REG",0.065,"REG",0.03,"LOD",0.063,"REG",0.06,"REG",0.089,"REG",0.067,"REG",0.019,"LOD",0.021,"LOD",0.121,"REG",0.034,"LOD","rotating"
"105","Finnegan Playground",39.938448,-75.192335,2023-08-30 10:50:00,2023-09-06 09:17:00,0.201,"REG",0.307,"REG",0.08,"REG",0.564,"REG",1.152,"REG",0.443,"REG",0.121,"REG",0.029,"REG",0.127,"REG",0.073,"REG",0.111,"REG",0.07,"LOD",0.122,"REG",0.009,"REG",0.37,"REG",0.024,"LOD",0.053,"REG",0.023,"LOD",0.152,"REG",0.058,"REG",0.016,"LOD",0.015,"LOD",0.281,"REG",0.191,"REG","rotating"
"106","Grays Ferry Ave",39.93924766,-75.1944459,2023-08-30 10:55:00,2023-09-06 09:10:00,0.245,"REG",0.499,"REG",0.12,"REG",0.845,"REG",1.709,"REG",0.666,"REG",0.179,"REG",0.024,"REG",0.141,"REG",0.094,"REG",0.105,"REG",0.082,"REG",0.043,"REG",0.009,"REG",0.079,"REG",0.03,"LOD",0.07,"REG",0.068,"REG",0.059,"REG",0.067,"REG",0.019,"LOD",0.015,"LOD",0.101,"REG",0.051,"LOD","rotating"
"107","24th & Ritner",39.9229639,-75.186874,2023-09-06 09:57:00,2023-09-20 12:17:00,0.161,"REG",0.435,"REG",0.093,"REG",0.794,"REG",1.483,"REG",0.662,"REG",0.132,"REG",0.11,"REG",0.177,"REG",0.12,"REG",0.117,"REG",0.072,"REG",0.025,"REG",0.017,"REG",0.006,"ND",0.02,"LOD",0.046,"REG",0.019,"REG",0.032,"REG",0.057,"REG",0.014,"LOD",0.016,"REG",0.037,"LOD",0.02,"LOD","stationary"
"108","26th & Hartranft",39.9132713,-75.192201,2023-09-06 10:09:00,2023-09-20 12:30:00,0.179,"REG",0.424,"REG",0.156,"REG",1.351,"REG",2.11,"REG",1.123,"REG",0.228,"REG",0.11,"REG",0.312,"REG",0.288,"REG",0.303,"REG",0.426,"REG",0.168,"REG",0.012,"REG",0.151,"REG",0.095,"REG",0.143,"REG",0.077,"REG",0.334,"REG",0.239,"REG",0.061,"REG",0.013,"REG",0.493,"REG",0.508,"REG","stationary"
"109","28th & Passyunk",39.9206109,-75.195588,2023-09-06 10:30:00,2023-09-20 11:26:00,0.201,"REG",0.545,"REG",0.214,"REG",2.173,"REG",3.133,"REG",1.82,"REG",0.353,"REG",0.11,"REG",0.602,"REG",0.575,"REG",0.528,"REG",0.784,"REG",0.232,"REG",0.02,"REG",0.134,"REG",0.092,"REG",0.171,"REG",0.095,"REG",0.135,"REG",0.333,"REG",0.069,"REG",0.016,"REG",0.157,"REG",0.133,"REG","stationary"
