"","site","lat","long","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type"
"11","61st & Passyunk",39.9182045,-75.208547,2023-06-28 14:00:00,2023-07-05 12:50:00,0.347,"REG",0.462,"REG",0.11,"REG",0.746,"REG",1.665,"REG",0.578,"REG",0.168,"REG",0.043,"REG",0.223,"REG",0.133,"REG",0.154,"REG",0.116,"REG",0.046,"REG",0.013,"REG",0.003,"REG",0.036,"LOD",0.074,"REG",0.026,"LOD",0.05,"REG",0.075,"REG",0.028,"LOD",0.011,"LOD",0.072,"LOD",0.024,"LOD","stationary"
"12","28th & Passyunk",39.9206109,-75.195588,2023-06-28 14:15:00,2023-07-05 13:02:00,0.372,"REG",0.385,"REG",0.15,"REG",1.118,"REG",2.025,"REG",0.892,"REG",0.226,"REG",0.033,"REG",0.47,"REG",0.333,"REG",0.463,"REG",0.481,"REG",0.146,"REG",0.009,"REG",0.032,"REG",0.067,"REG",0.102,"REG",0.041,"REG",0.084,"REG",0.158,"REG",0.045,"REG",0.006,"LOD",0.106,"REG",0.045,"LOD","stationary"
"13","26th & Hartranft",39.9132713,-75.192201,2023-06-28 14:58:00,2023-07-05 14:21:00,0.352,"REG",0.325,"REG",0.095,"REG",0.631,"REG",1.403,"REG",0.484,"REG",0.147,"REG",0.043,"REG",0.149,"REG",0.1,"REG",0.115,"REG",0.139,"REG",0.05,"REG",0.009,"REG",0.079,"REG",0.066,"REG",0.112,"REG",0.038,"REG",0.346,"REG",0.108,"REG",0.052,"REG",0.006,"ND",0.59,"REG",0.46,"REG","stationary"
"14","24th & Ritner",39.9229639,-75.186874,2023-06-28 14:45:00,2023-07-05 19:42:00,0.346,"REG",0.388,"REG",0.096,"REG",0.67,"REG",1.5,"REG",0.523,"REG",0.147,"REG",0.041,"REG",0.164,"REG",0.109,"REG",0.13,"REG",0.112,"REG",0.033,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.064,"REG",0.022,"LOD",0.039,"REG",0.072,"REG",0.027,"LOD",0.016,"LOD",0.07,"LOD",0.033,"LOD","stationary"
"15","28th & Point Breeze",39.9262478,-75.192317,2023-06-28 14:26:00,2023-07-05 19:51:00,0.321,"REG",0.322,"REG",0.082,"REG",0.535,"REG",1.26,"REG",0.419,"REG",0.116,"REG",0.037,"REG",0.144,"REG",0.103,"REG",0.123,"REG",0.112,"REG",0.025,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.051,"REG",0.022,"LOD",0.048,"REG",0.064,"REG",0.023,"LOD",0.011,"LOD",0.07,"LOD",0.033,"LOD","stationary"
"16","25th & Point Breeze",39.9277176,-75.187397,2023-06-28 14:32:00,2023-07-05 20:03:00,0.297,"REG",0.338,"REG",0.077,"REG",0.49,"REG",1.202,"REG",0.384,"REG",0.106,"REG",0.032,"REG",0.144,"REG",0.109,"REG",0.117,"REG",0.078,"REG",0.045,"REG",0.009,"REG",0.03,"REG",0.023,"LOD",0.047,"REG",0.018,"LOD",0.048,"REG",0.056,"REG",0.02,"LOD",0.016,"LOD",0.076,"LOD",0.043,"LOD","stationary"
"17","Morris & Point Breeze",39.9309466,-75.182994,2023-06-28 14:38:00,2023-07-05 20:24:00,0.327,"REG",0.341,"REG",0.106,"REG",0.718,"REG",1.492,"REG",0.562,"REG",0.156,"REG",0.032,"REG",0.182,"REG",0.09,"REG",0.111,"REG",0.078,"REG",0.044,"REG",0.009,"REG",0.021,"REG",0.023,"LOD",0.054,"REG",0.022,"LOD",0.076,"REG",0.056,"REG",0.023,"LOD",0.032,"REG",0.108,"REG",0.069,"REG","stationary"
"18","Bartram’s Garden",39.92896,-75.212541,2023-07-05 11:40:00,2023-07-12 12:05:00,0.17,"REG",0.293,"REG",0.069,"REG",0.472,"REG",1.004,"REG",0.368,"REG",0.104,"REG",0.042,"REG",0.122,"REG",0.079,"REG",0.089,"REG",0.068,"LOD",0.021,"REG",0.013,"REG",0.008,"REG",0.018,"LOD",0.045,"REG",0.019,"LOD",0.045,"REG",0.049,"REG",0.02,"LOD",0.022,"LOD",0.078,"LOD",0.023,"LOD","stationary"
"19","Essington & Mingo",39.9013173,-75.225026,2023-07-05 12:40:00,2023-07-12 12:28:00,0.202,"REG",0.379,"REG",0.104,"REG",0.737,"REG",1.422,"REG",0.575,"REG",0.162,"REG",0.047,"REG",0.129,"REG",0.093,"REG",0.089,"REG",0.069,"LOD",0.017,"REG",0.018,"REG",0.01,"ND",0.024,"LOD",0.063,"REG",0.022,"LOD",0.03,"LOD",0.058,"REG",0.024,"LOD",0.011,"LOD",0.065,"LOD",0.029,"LOD","stationary"
"20","61st & Passyunk",39.9182045,-75.208547,2023-07-05 12:52:00,2023-07-12 12:47:00,0.27,"REG",0.877,"REG",0.203,"REG",1.524,"REG",2.874,"REG",1.184,"REG",0.34,"REG",0.047,"REG",0.427,"REG",0.278,"REG",0.281,"REG",0.232,"REG",0.075,"REG",0.013,"REG",0.017,"REG",0.06,"REG",0.143,"REG",0.049,"REG",0.064,"REG",0.149,"REG",0.051,"REG",0.017,"LOD",0.092,"LOD",0.04,"LOD","stationary"
"21","28th & Passyunk",39.9206109,-75.195588,2023-07-05 13:04:00,2023-07-12 13:00:00,0.444,"REG",0.864,"REG",0.417,"REG",3.52,"REG",5.245,"REG",2.836,"REG",0.684,"REG",0.043,"REG",1.241,"REG",1.317,"REG",1.101,"REG",1.703,"REG",0.344,"REG",0.013,"REG",0.183,"REG",0.217,"REG",0.32,"REG",0.165,"REG",0.015,"ND",0.571,"REG",0.14,"REG",0.006,"ND",0.297,"REG",0.136,"REG","stationary"
"22","28th & Point Breeze",39.9262478,-75.192317,2023-07-05 19:54:00,2023-07-12 13:45:00,0.209,"REG",0.371,"REG",0.098,"REG",0.738,"REG",1.416,"REG",0.581,"REG",0.157,"REG",0.039,"REG",0.196,"REG",0.144,"REG",0.159,"REG",0.156,"REG",0.048,"REG",0.009,"REG",0.013,"REG",0.037,"LOD",0.069,"REG",0.031,"REG",0.067,"REG",0.094,"REG",0.028,"LOD",0.017,"LOD",0.116,"REG",0.052,"REG","stationary"
"23","25th & Point Breeze",39.9277176,-75.187397,2023-07-05 20:05:00,2023-07-12 14:09:00,0.164,"REG",0.357,"REG",0.087,"REG",0.627,"REG",1.235,"REG",0.492,"REG",0.135,"REG",0.034,"REG",0.161,"REG",0.117,"REG",0.132,"REG",0.095,"REG",0.031,"REG",0.009,"REG",0.01,"ND",0.025,"LOD",0.054,"REG",0.019,"LOD",0.046,"REG",0.069,"REG",0.025,"LOD",0.017,"LOD",0.075,"LOD",0.03,"LOD","stationary"
"24","Morris & Point Breeze",39.9309466,-75.182994,2023-07-05 20:24:00,2023-07-12 14:38:00,0.202,"REG",0.37,"REG",0.092,"REG",0.66,"REG",1.324,"REG",0.514,"REG",0.146,"REG",0.039,"REG",0.209,"REG",0.103,"REG",0.118,"REG",0.095,"REG",0.018,"REG",0.009,"REG",0.01,"ND",0.025,"LOD",0.061,"REG",0.023,"LOD",0.086,"REG",0.068,"REG",0.025,"LOD",0.029,"REG",0.15,"REG",0.074,"REG","stationary"
"25","24th & Ritner",39.9229639,-75.186874,2023-07-05 19:45:00,2023-07-12 15:04:00,0.233,"REG",0.407,"REG",0.107,"REG",0.794,"REG",1.541,"REG",0.627,"REG",0.167,"REG",0.039,"REG",0.248,"REG",0.156,"REG",0.19,"REG",0.167,"REG",0.047,"REG",0.009,"REG",0.018,"REG",0.037,"LOD",0.072,"REG",0.027,"LOD",0.066,"REG",0.085,"REG",0.028,"LOD",0.017,"LOD",0.094,"LOD",0.041,"LOD","stationary"
"26","26th & Hartranft",39.9132713,-75.192201,2023-07-05 14:23:00,2023-07-12 15:21:00,0.367,"REG",0.506,"REG",0.207,"REG",1.402,"REG",2.482,"REG",1.127,"REG",0.275,"REG",0.038,"REG",0.595,"REG",0.395,"REG",0.489,"REG",0.521,"REG",0.148,"REG",0.013,"REG",0.158,"REG",0.132,"REG",0.173,"REG",0.063,"REG",0.463,"REG",0.197,"REG",0.078,"REG",0.006,"ND",0.808,"REG",0.61,"REG","stationary"
"27","Bartram’s Garden",39.92896,-75.212541,2023-07-12 12:08:00,2023-07-19 12:41:00,0.326,"REG",0.562,"REG",0.106,"REG",0.835,"REG",1.829,"REG",0.649,"REG",0.186,"LOD",0.202,"REG",0.32,"REG",0.141,"LOD",0.208,"REG",0.165,"LOD",0.073,"LOD",0.031,"REG",0.049,"LOD",0.015,"ND",0.099,"LOD",0.027,"LOD",0.081,"LOD",0.118,"LOD",0.049,"LOD",0.039,"LOD",0.134,"LOD",0.101,"LOD","stationary"
"28","Essington & Mingo",39.9013173,-75.225026,2023-07-12 12:24:00,2023-07-19 12:57:00,0.37,"REG",0.592,"REG",0.141,"REG",0.886,"REG",1.989,"REG",0.7,"REG",0.186,"LOD",0.202,"REG",0.273,"REG",0.141,"LOD",0.163,"REG",0.165,"LOD",0.073,"LOD",0.001,"ND",0.015,"LOD",0.043,"LOD",0.074,"LOD",0.08,"LOD",0.081,"LOD",0.059,"LOD",0.024,"LOD",0.006,"ND",0.087,"LOD",0.062,"LOD","stationary"
"29","61st & Passyunk",39.9182045,-75.208547,2023-07-12 12:50:00,2023-07-19 13:05:00,0.371,"REG",0.683,"REG",0.142,"REG",1.114,"REG",2.31,"REG",0.853,"REG",0.261,"LOD",0.169,"REG",0.415,"REG",0.236,"LOD",0.3,"REG",0.249,"LOD",0.103,"LOD",0.031,"REG",0.083,"LOD",0.043,"LOD",0.124,"LOD",0.027,"LOD",0.115,"LOD",0.118,"LOD",0.049,"LOD",0.006,"ND",0.026,"ND",0.101,"LOD","stationary"
"30","28th & Passyunk",39.9206109,-75.195588,2023-07-12 13:01:00,2023-07-19 13:11:00,1.168,"REG",2.764,"REG",1.169,"REG",9.714,"REG",14.815,"REG",7.737,"REG",1.977,"REG",0.169,"REG",2.825,"REG",3.118,"REG",2.952,"REG",5.167,"REG",0.006,"ND",0.063,"REG",0.893,"REG",0.816,"REG",0.97,"REG",0.455,"REG",1.187,"REG",1.594,"REG",0.415,"REG",0.006,"ND",2.166,"REG",0.905,"REG","stationary"
"31","28th & Point Breeze",39.9262478,-75.192317,2023-07-12 13:47:00,2023-07-19 13:20:00,0.461,"REG",0.837,"REG",0.284,"REG",2.309,"REG",3.891,"REG",1.822,"REG",0.487,"REG",0.169,"REG",0.559,"REG",0.427,"REG",0.531,"REG",0.584,"REG",0.192,"REG",0.032,"REG",0.151,"LOD",0.129,"LOD",0.225,"LOD",0.107,"LOD",0.22,"LOD",0.356,"REG",0.098,"LOD",0.04,"LOD",0.372,"LOD",0.178,"LOD","stationary"
"32","25th & Point Breeze",39.9277176,-75.187397,2023-07-12 14:11:00,2023-07-19 13:30:00,0.417,"REG",0.778,"REG",0.178,"REG",1.551,"REG",2.924,"REG",1.214,"REG",0.337,"REG",0.203,"REG",0.417,"REG",0.285,"LOD",0.348,"REG",0.334,"LOD",0.163,"REG",0.032,"REG",0.117,"LOD",0.086,"LOD",0.125,"LOD",0.054,"LOD",0.151,"LOD",0.178,"REG",0.049,"LOD",0.04,"LOD",0.23,"LOD",0.14,"LOD","stationary"
"33","Morris & Point Breeze",39.9309466,-75.182994,2023-07-12 14:35:00,2023-07-19 13:37:00,0.418,"REG",0.688,"REG",0.178,"REG",1.363,"REG",2.647,"REG",1.063,"REG",0.3,"REG",0.17,"REG",0.418,"REG",0.238,"LOD",0.256,"REG",0.25,"LOD",0.103,"LOD",0.032,"REG",0.083,"LOD",0.043,"LOD",0.125,"LOD",0.054,"LOD",0.22,"LOD",0.178,"REG",0.049,"LOD",0.04,"LOD",0.468,"LOD",0.41,"LOD","stationary"
"34","24th & Ritner",39.9229639,-75.186874,2023-07-12 15:03:00,2023-07-19 13:48:00,0.597,"REG",0.993,"REG",0.286,"REG",2.32,"REG",4.196,"REG",1.831,"REG",0.489,"REG",0.001,"ND",0.657,"REG",0.429,"REG",0.579,"REG",0.587,"REG",0.252,"REG",0.032,"REG",0.288,"REG",0.13,"LOD",0.226,"LOD",0.081,"LOD",0.256,"LOD",0.298,"REG",0.099,"LOD",0.04,"LOD",0.421,"LOD",0.179,"LOD","stationary"
"35","26th & Hartranft",39.9132713,-75.192201,2023-07-12 15:22:00,2023-07-19 14:00:00,0.464,"REG",0.599,"REG",0.143,"REG",1.124,"REG",2.33,"REG",0.861,"REG",0.263,"LOD",0.17,"REG",0.371,"REG",0.191,"LOD",0.257,"REG",0.251,"LOD",0.223,"REG",0.032,"REG",0.424,"REG",0.13,"LOD",0.226,"LOD",0.081,"LOD",0.744,"REG",0.238,"REG",0.099,"LOD",0.006,"ND",1.327,"REG",1.107,"REG","stationary"
"36","Bartram’s Garden",39.92896,-75.212541,2023-07-19 12:42:00,2023-07-26 09:54:00,0.332,"REG",0.573,"REG",0.144,"REG",0.942,"REG",1.991,"REG",0.714,"REG",0.228,"LOD",0.206,"REG",0.278,"REG",0.144,"LOD",0.212,"REG",0.168,"LOD",0.044,"LOD",0.032,"REG",0.015,"LOD",0.044,"LOD",0.101,"LOD",0.027,"LOD",0.082,"LOD",0.12,"LOD",0.025,"LOD",0.08,"LOD",0.137,"LOD",0.064,"LOD","stationary"
"37","Essington & Mingo",39.9013173,-75.225026,2023-07-19 12:56:00,2023-07-26 10:20:00,0.377,"REG",0.603,"REG",0.144,"REG",0.993,"REG",2.117,"REG",0.765,"REG",0.228,"LOD",0.206,"REG",0.23,"REG",0.144,"LOD",0.212,"REG",0.168,"LOD",0.074,"LOD",0.032,"REG",0.05,"LOD",0.044,"LOD",0.076,"LOD",0.027,"LOD",0.082,"LOD",0.12,"LOD",0.05,"LOD",0.04,"LOD",0.137,"LOD",0.064,"LOD","stationary"
"38","61st & Passyunk",39.9182045,-75.208547,2023-07-19 13:04:00,2023-07-26 10:27:00,0.512,"REG",1.523,"REG",0.36,"REG",2.992,"REG",5.387,"REG",2.309,"REG",0.683,"REG",0.206,"REG",0.614,"REG",0.432,"REG",0.491,"REG",0.422,"LOD",0.164,"REG",0.032,"REG",0.118,"LOD",0.131,"LOD",0.303,"LOD",0.109,"LOD",0.152,"LOD",0.3,"REG",0.099,"LOD",0.04,"LOD",0.185,"LOD",0.064,"LOD","stationary"
"39","28th & Passyunk",39.9206109,-75.195588,2023-07-19 13:10:00,2023-07-26 10:34:00,0.557,"REG",1.063,"REG",0.396,"REG",4.736,"REG",6.752,"REG",3.75,"REG",0.986,"REG",0.206,"REG",1.047,"REG",1.009,"REG",0.956,"REG",1.439,"REG",0.375,"REG",0.032,"REG",0.359,"REG",0.218,"LOD",0.556,"REG",0.19,"LOD",0.434,"REG",0.901,"REG",0.224,"LOD",0.04,"LOD",0.905,"REG",0.453,"REG","stationary"
"40","28th & Point Breeze",39.9262478,-75.192317,2023-07-19 13:19:00,2023-07-26 10:45:00,0.422,"REG",0.664,"REG",0.216,"REG",1.761,"REG",3.063,"REG",1.382,"REG",0.379,"REG",0.206,"REG",0.374,"REG",0.24,"LOD",0.351,"REG",0.337,"LOD",0.134,"REG",0.032,"REG",0.118,"LOD",0.044,"LOD",0.126,"LOD",0.054,"LOD",0.152,"LOD",0.18,"REG",0.075,"LOD",0.04,"LOD",0.233,"LOD",0.103,"LOD","stationary"
"41","Morris & Point Breeze",39.9309466,-75.182994,2023-07-19 13:36:00,2023-07-26 11:02:00,0.422,"REG",0.695,"REG",0.144,"REG",1.235,"REG",2.496,"REG",0.97,"REG",0.265,"LOD",0.172,"REG",0.326,"REG",0.192,"LOD",0.259,"REG",0.168,"LOD",0.074,"LOD",0.032,"REG",0.084,"LOD",0.044,"LOD",0.126,"LOD",0.054,"LOD",0.187,"LOD",0.18,"REG",0.05,"LOD",0.08,"LOD",0.425,"LOD",0.336,"LOD","stationary"
"42","25th & Point Breeze",39.9277176,-75.187397,2023-07-19 13:30:00,2023-07-26 11:10:00,0.421,"REG",1.459,"REG",0.36,"REG",2.949,"REG",5.189,"REG",2.305,"REG",0.644,"REG",0.171,"REG",0.422,"REG",0.336,"REG",0.397,"REG",0.337,"LOD",0.134,"REG",0.032,"REG",0.152,"LOD",0.087,"LOD",0.227,"LOD",0.081,"LOD",0.117,"LOD",0.24,"REG",0.099,"LOD",0.04,"LOD",0.026,"ND",0.102,"LOD","stationary"
"43","24th & Ritner",39.9229639,-75.186874,2023-07-19 20:47:00,2023-07-26 11:36:00,0.486,"REG",0.82,"REG",0.188,"REG",1.434,"REG",2.928,"REG",1.118,"REG",0.316,"REG",0.179,"REG",0.34,"REG",0.25,"LOD",0.318,"REG",0.263,"LOD",0.14,"REG",0.033,"REG",0.195,"REG",0.045,"LOD",0.132,"LOD",0.057,"LOD",0.159,"LOD",0.188,"REG",0.009,"ND",0.042,"LOD",0.242,"LOD",0.147,"LOD","stationary"
"44","26th & Hartranft",39.9132713,-75.192201,2023-07-19 13:59:00,2023-07-26 12:08:00,0.465,"REG",0.692,"REG",0.179,"REG",1.562,"REG",2.898,"REG",1.222,"REG",0.34,"REG",0.171,"REG",0.42,"REG",0.287,"LOD",0.396,"REG",0.336,"LOD",0.164,"REG",0.032,"REG",0.22,"REG",0.13,"LOD",0.252,"LOD",0.081,"LOD",0.676,"REG",0.299,"REG",0.124,"LOD",0.04,"LOD",1.283,"REG",1.071,"REG","stationary"
"45","Bartram’s Garden",39.92896,-75.212541,2023-07-26 09:57:00,2023-08-02 10:27:00,0.207,"REG",0.272,"REG",0.054,"REG",0.38,"REG",0.913,"REG",0.297,"REG",0.083,"REG",0.075,"REG",0.109,"REG",0.066,"REG",0.082,"REG",0.057,"LOD",0.05,"REG",0.013,"REG",0.111,"REG",0.018,"LOD",0.011,"ND",0.034,"REG",0.049,"REG",0.041,"REG",0.014,"LOD",0.027,"REG",0.105,"REG",0.015,"ND","stationary"
"46","Essington & Mingo",39.9013173,-75.225026,2023-07-26 10:18:00,2023-08-02 10:42:00,0.208,"REG",0.333,"REG",0.074,"REG",0.532,"REG",1.147,"REG",0.423,"REG",0.109,"REG",0.075,"REG",0.139,"REG",0.086,"REG",0.092,"REG",0.054,"LOD",0.037,"REG",0.013,"REG",0.053,"REG",0.024,"LOD",0.045,"REG",0.018,"LOD",0.04,"LOD",0.04,"REG",0.017,"LOD",0.022,"LOD",0.059,"LOD",0.033,"LOD","stationary"
"47","61st & Passyunk",39.9182045,-75.208547,2023-07-26 10:28:00,2023-08-02 10:53:00,0.282,"REG",0.729,"REG",0.173,"REG",1.291,"REG",2.475,"REG",1.01,"REG",0.281,"REG",0.066,"REG",0.363,"REG",0.231,"REG",0.232,"REG",0.194,"REG",0.082,"REG",0.013,"REG",0.082,"REG",0.054,"LOD",0.011,"ND",0.119,"REG",0.064,"REG",0.106,"REG",0.041,"REG",0.016,"LOD",0.092,"REG",0.044,"LOD","stationary"
"48","28th & Passyunk",39.9206109,-75.195588,2023-07-26 10:35:00,2023-08-02 11:00:00,0.344,"REG",0.379,"REG",0.119,"REG",1.05,"REG",1.892,"REG",0.826,"REG",0.224,"REG",0.075,"REG",0.422,"REG",0.422,"REG",0.424,"REG",0.532,"REG",0.21,"REG",0.013,"REG",0.265,"REG",0.06,"REG",0.1,"REG",0.048,"REG",0.151,"REG",0.164,"REG",0.044,"REG",0.006,"ND",0.231,"REG",0.119,"REG","stationary"
"49","28th & Point Breeze",39.9262478,-75.192317,2023-07-26 10:45:00,2023-08-02 11:07:00,0.214,"REG",0.312,"REG",0.074,"REG",0.564,"REG",1.164,"REG",0.444,"REG",0.12,"REG",0.066,"REG",0.158,"REG",0.112,"REG",0.13,"REG",0.124,"REG",0.062,"REG",0.013,"REG",0.091,"REG",0.03,"LOD",0.052,"REG",0.022,"LOD",0.069,"REG",0.065,"REG",0.024,"LOD",0.016,"LOD",0.099,"REG",0.054,"REG","stationary"
"50","25th & Point Breeze",39.9277176,-75.187397,2023-07-26 11:12:00,2023-08-02 11:12:00,0.209,"REG",0.359,"REG",0.074,"REG",0.558,"REG",1.2,"REG",0.438,"REG",0.12,"REG",0.066,"REG",0.159,"REG",0.146,"REG",0.137,"REG",0.089,"REG",0.079,"REG",0.009,"REG",0.12,"REG",0.024,"LOD",0.048,"REG",0.018,"LOD",0.074,"REG",0.056,"REG",0.021,"LOD",0.017,"LOD",0.026,"ND",0.055,"REG","stationary"
"51","Morris & Point Breeze",39.9309466,-75.182994,2023-07-26 11:04:00,2023-08-02 11:17:00,0.258,"REG",0.379,"REG",0.094,"REG",0.732,"REG",1.463,"REG",0.586,"REG",0.146,"REG",0.071,"REG",0.198,"REG",0.106,"REG",0.136,"REG",0.089,"REG",0.12,"REG",0.009,"REG",0.299,"REG",0.036,"LOD",0.069,"REG",0.026,"LOD",0.147,"REG",0.073,"REG",0.027,"LOD",0.044,"REG",0.284,"REG",0.242,"REG","stationary"
"52","24th & Ritner",39.9229639,-75.186874,2023-07-26 11:34:00,2023-08-02 11:24:00,0.246,"REG",0.372,"REG",0.099,"REG",0.757,"REG",1.474,"REG",0.595,"REG",0.162,"REG",0.071,"REG",0.185,"REG",0.146,"REG",0.156,"REG",0.183,"REG",0.074,"REG",0.018,"REG",0.101,"REG",0.042,"LOD",0.08,"REG",0.029,"REG",0.089,"REG",0.09,"REG",0.031,"LOD",0.017,"LOD",0.139,"REG",0.087,"REG","stationary"
"53","26th & Hartranft",39.9132713,-75.192201,2023-07-26 12:05:00,2023-08-02 11:35:00,0.408,"REG",0.402,"REG",0.154,"REG",0.953,"REG",1.917,"REG",0.759,"REG",0.194,"REG",0.071,"REG",0.491,"REG",0.61,"REG",0.452,"REG",0.745,"REG",0.282,"REG",0.009,"REG",0.532,"REG",0.151,"REG",0.136,"REG",0.067,"REG",0.419,"REG",0.189,"REG",0.069,"REG",0.006,"ND",0.876,"REG",0.662,"REG","stationary"
"54","Bartram’s Garden",39.92896,-75.212541,2023-08-02 10:26:00,2023-08-09 09:54:00,0.203,"REG",0.254,"REG",0.06,"REG",0.415,"REG",0.932,"REG",0.326,"REG",0.089,"REG",0.076,"REG",0.126,"REG",0.073,"REG",0.098,"REG",0.066,"LOD",0.058,"REG",0.009,"REG",0.111,"REG",0.018,"LOD",0.038,"LOD",0.018,"LOD",0.055,"REG",0.04,"REG",0.017,"LOD",0.011,"LOD",0.073,"LOD",0.039,"LOD","stationary"
"55","Essington & Mingo",39.9013173,-75.225026,2023-08-02 10:40:00,2023-08-09 10:09:00,0.228,"REG",0.271,"REG",0.065,"REG",0.429,"REG",0.993,"REG",0.34,"REG",0.089,"REG",0.076,"REG",0.113,"REG",0.093,"REG",0.118,"REG",0.055,"LOD",0.046,"REG",0.009,"REG",0.068,"REG",0.018,"LOD",0.034,"LOD",0.014,"LOD",0.04,"LOD",0.032,"REG",0.014,"LOD",0.006,"ND",0.126,"REG",0.033,"LOD","stationary"
"56","61st & Passyunk",39.9182045,-75.208547,2023-08-02 10:51:00,2023-08-09 10:19:00,0.241,"REG",0.47,"REG",0.114,"REG",0.804,"REG",1.629,"REG",0.631,"REG",0.173,"REG",0.109,"REG",0.206,"REG",0.133,"REG",0.143,"REG",0.113,"REG",0.058,"REG",0.013,"REG",0.068,"REG",0.03,"LOD",0.073,"REG",0.026,"LOD",0.05,"LOD",0.073,"REG",0.027,"LOD",0.011,"LOD",0.066,"LOD",0.033,"LOD","stationary"
"57","28th & Passyunk",39.9206109,-75.195588,2023-08-02 10:57:00,2023-08-09 10:23:00,0.471,"REG",0.826,"REG",0.433,"REG",3.825,"REG",5.555,"REG",3.092,"REG",0.733,"REG",0.109,"REG",0.956,"REG",0.995,"REG",0.837,"REG",1.706,"REG",0.344,"REG",0.001,"ND",0.262,"REG",0.241,"REG",0.415,"REG",0.191,"REG",0.23,"REG",0.621,"REG",0.154,"REG",0.006,"LOD",0.511,"REG",0.232,"REG","stationary"
"58","24th & Ritner",39.9229639,-75.186874,2023-08-02 11:23:00,2023-08-09 10:33:00,0.235,"REG",0.314,"REG",0.09,"REG",0.623,"REG",1.262,"REG",0.497,"REG",0.126,"REG",0.062,"REG",0.16,"REG",0.126,"REG",0.131,"REG",0.125,"REG",0.071,"REG",0.009,"REG",0.087,"REG",0.03,"LOD",0.059,"REG",0.026,"LOD",0.06,"REG",0.073,"REG",0.009,"ND",0.011,"LOD",0.1,"REG",0.071,"REG","stationary"
"59","25th & Point Breeze",39.9277176,-75.187397,2023-08-02 11:11:00,2023-08-09 10:41:00,0.197,"REG",0.275,"REG",0.07,"REG",0.49,"REG",1.032,"REG",0.39,"REG",0.1,"REG",0.104,"REG",0.133,"REG",0.119,"REG",0.105,"REG",0.101,"REG",0.033,"REG",0.009,"REG",0.03,"REG",0.024,"LOD",0.045,"REG",0.018,"LOD",0.04,"LOD",0.057,"REG",0.021,"LOD",0.011,"LOD",0.06,"LOD",0.033,"LOD","stationary"
"60","28th & Point Breeze",39.9262478,-75.192317,2023-08-02 11:05:00,2023-08-09 10:47:00,0.228,"REG",0.275,"REG",0.094,"REG",0.722,"REG",1.319,"REG",0.581,"REG",0.141,"REG",0.099,"REG",0.172,"REG",0.152,"REG",0.162,"REG",0.207,"REG",0.079,"REG",0.009,"REG",0.077,"REG",0.042,"LOD",0.069,"REG",0.033,"REG",0.074,"REG",0.106,"REG",0.031,"LOD",0.017,"LOD",0.113,"REG",0.065,"REG","stationary"
"61","Morris & Point Breeze",39.9309466,-75.182994,2023-08-02 11:16:00,2023-08-09 12:03:00,0.214,"REG",0.282,"REG",0.074,"REG",0.491,"REG",1.061,"REG",0.387,"REG",0.104,"REG",0.061,"REG",0.145,"REG",0.072,"REG",0.085,"REG",0.066,"LOD",0.029,"REG",0.009,"REG",0.03,"REG",0.024,"LOD",0.051,"REG",0.022,"LOD",0.074,"REG",0.056,"REG",0.024,"LOD",0.027,"REG",0.165,"REG",0.145,"REG","stationary"
"62","26th & Hartranft",39.9132713,-75.192201,2023-08-02 11:33:00,2023-08-09 12:22:00,0.294,"REG",0.273,"REG",0.128,"REG",0.777,"REG",1.472,"REG",0.626,"REG",0.151,"REG",0.061,"REG",0.27,"REG",0.323,"REG",0.435,"REG",0.472,"REG",1.111,"REG",0.009,"REG",1.374,"ULOD",0.126,"REG",0.121,"REG",0.063,"REG",0.44,"REG",0.171,"REG",0.065,"REG",0.006,"ND",0.79,"REG",0.668,"REG","stationary"
"63","Bartram’s Garden",39.92896,-75.212541,2023-08-09 09:54:00,2023-08-16 11:51:00,0.165,"REG",0.308,"REG",0.076,"REG",0.493,"REG",1.042,"REG",0.386,"REG",0.107,"REG",0.046,"REG",0.129,"REG",0.076,"REG",0.096,"REG",0.064,"REG",0.047,"REG",0.014,"REG",0.064,"REG",0.023,"LOD",0.051,"REG",0.019,"REG",0.057,"REG",0.041,"REG",0.02,"LOD",0.025,"REG",0.025,"ND",0.049,"REG","stationary"
