"","site","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type","lat","long"
"12","28th & Passyunk",4,2023-06-28 14:15:00,2023-07-05 13:02:00,0.372,"REG",0.385,"REG",0.15,"REG",1.118,"REG",2.025,"REG",0.892,"REG",0.226,"REG",0.033,"REG",0.47,"REG",0.333,"REG",0.463,"REG",0.481,"REG",0.146,"REG",0.009,"REG",0.032,"REG",0.067,"REG",0.102,"REG",0.041,"REG",0.084,"REG",0.158,"REG",0.045,"REG",0.006,"LOD",0.106,"REG",0.045,"LOD","stationary","39.92061091"," -75.1955879"
"13","26th & Hartranft",9,2023-06-28 14:58:00,2023-07-05 14:21:00,0.352,"REG",0.325,"REG",0.095,"REG",0.631,"REG",1.403,"REG",0.484,"REG",0.147,"REG",0.043,"REG",0.149,"REG",0.1,"REG",0.115,"REG",0.139,"REG",0.05,"REG",0.009,"REG",0.079,"REG",0.066,"REG",0.112,"REG",0.038,"REG",0.346,"REG",0.108,"REG",0.052,"REG",0.006,"ND",0.59,"REG",0.46,"REG","stationary","39.91327125"," -75.1922011"
"14","24th & Ritner",8,2023-06-28 14:45:00,2023-07-05 19:42:00,0.346,"REG",0.388,"REG",0.096,"REG",0.67,"REG",1.5,"REG",0.523,"REG",0.147,"REG",0.041,"REG",0.164,"REG",0.109,"REG",0.13,"REG",0.112,"REG",0.033,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.064,"REG",0.022,"LOD",0.039,"REG",0.072,"REG",0.027,"LOD",0.016,"LOD",0.07,"LOD",0.033,"LOD","stationary","39.92296389"," -75.186874"
"15","28th & Point Breeze",5,2023-06-28 14:26:00,2023-07-05 19:51:00,0.321,"REG",0.322,"REG",0.082,"REG",0.535,"REG",1.26,"REG",0.419,"REG",0.116,"REG",0.037,"REG",0.144,"REG",0.103,"REG",0.123,"REG",0.112,"REG",0.025,"REG",0.009,"REG",0.009,"ND",0.029,"LOD",0.051,"REG",0.022,"LOD",0.048,"REG",0.064,"REG",0.023,"LOD",0.011,"LOD",0.07,"LOD",0.033,"LOD","stationary","39.92624784"," -75.1923165"
"16","25th & Point Breeze",6,2023-06-28 14:32:00,2023-07-05 20:03:00,0.297,"REG",0.338,"REG",0.077,"REG",0.49,"REG",1.202,"REG",0.384,"REG",0.106,"REG",0.032,"REG",0.144,"REG",0.109,"REG",0.117,"REG",0.078,"REG",0.045,"REG",0.009,"REG",0.03,"REG",0.023,"LOD",0.047,"REG",0.018,"LOD",0.048,"REG",0.056,"REG",0.02,"LOD",0.016,"LOD",0.076,"LOD",0.043,"LOD","stationary","39.92771763"," -75.1873965"
"17","Morris & Point Breeze",7,2023-06-28 14:38:00,2023-07-05 20:24:00,0.327,"REG",0.341,"REG",0.106,"REG",0.718,"REG",1.492,"REG",0.562,"REG",0.156,"REG",0.032,"REG",0.182,"REG",0.09,"REG",0.111,"REG",0.078,"REG",0.044,"REG",0.009,"REG",0.021,"REG",0.023,"LOD",0.054,"REG",0.022,"LOD",0.076,"REG",0.056,"REG",0.023,"LOD",0.032,"REG",0.108,"REG",0.069,"REG","stationary","39.93094655"," -75.1829941"
"18","Bartram’s Garden",1,2023-07-05 11:40:00,2023-07-12 12:05:00,0.17,"REG",0.293,"REG",0.069,"REG",0.472,"REG",1.004,"REG",0.368,"REG",0.104,"REG",0.042,"REG",0.122,"REG",0.079,"REG",0.089,"REG",0.068,"LOD",0.021,"REG",0.013,"REG",0.008,"REG",0.018,"LOD",0.045,"REG",0.019,"LOD",0.045,"REG",0.049,"REG",0.02,"LOD",0.022,"LOD",0.078,"LOD",0.023,"LOD","stationary","39.92896"," -75.212541"
"19","Essington & Mingo",2,2023-07-05 12:40:00,2023-07-12 12:28:00,0.202,"REG",0.379,"REG",0.104,"REG",0.737,"REG",1.422,"REG",0.575,"REG",0.162,"REG",0.047,"REG",0.129,"REG",0.093,"REG",0.089,"REG",0.069,"LOD",0.017,"REG",0.018,"REG",0.01,"ND",0.024,"LOD",0.063,"REG",0.022,"LOD",0.03,"LOD",0.058,"REG",0.024,"LOD",0.011,"LOD",0.065,"LOD",0.029,"LOD","stationary","39.90131732"," -75.2250262"
"20","61st & Passyunk",3,2023-07-05 12:52:00,2023-07-12 12:47:00,0.27,"REG",0.877,"REG",0.203,"REG",1.524,"REG",2.874,"REG",1.184,"REG",0.34,"REG",0.047,"REG",0.427,"REG",0.278,"REG",0.281,"REG",0.232,"REG",0.075,"REG",0.013,"REG",0.017,"REG",0.06,"REG",0.143,"REG",0.049,"REG",0.064,"REG",0.149,"REG",0.051,"REG",0.017,"LOD",0.092,"LOD",0.04,"LOD","stationary","39.91820446"," -75.2085474"
"21","28th & Passyunk",4,2023-07-05 13:04:00,2023-07-12 13:00:00,0.444,"REG",0.864,"REG",0.417,"REG",3.52,"REG",5.245,"REG",2.836,"REG",0.684,"REG",0.043,"REG",1.241,"REG",1.317,"REG",1.101,"REG",1.703,"REG",0.344,"REG",0.013,"REG",0.183,"REG",0.217,"REG",0.32,"REG",0.165,"REG",0.015,"ND",0.571,"REG",0.14,"REG",0.006,"ND",0.297,"REG",0.136,"REG","stationary","39.92061091"," -75.1955879"
"22","28th & Point Breeze",5,2023-07-05 19:54:00,2023-07-12 13:45:00,0.209,"REG",0.371,"REG",0.098,"REG",0.738,"REG",1.416,"REG",0.581,"REG",0.157,"REG",0.039,"REG",0.196,"REG",0.144,"REG",0.159,"REG",0.156,"REG",0.048,"REG",0.009,"REG",0.013,"REG",0.037,"LOD",0.069,"REG",0.031,"REG",0.067,"REG",0.094,"REG",0.028,"LOD",0.017,"LOD",0.116,"REG",0.052,"REG","stationary","39.92624784"," -75.1923165"
"23","25th & Point Breeze",6,2023-07-05 20:05:00,2023-07-12 14:09:00,0.164,"REG",0.357,"REG",0.087,"REG",0.627,"REG",1.235,"REG",0.492,"REG",0.135,"REG",0.034,"REG",0.161,"REG",0.117,"REG",0.132,"REG",0.095,"REG",0.031,"REG",0.009,"REG",0.01,"ND",0.025,"LOD",0.054,"REG",0.019,"LOD",0.046,"REG",0.069,"REG",0.025,"LOD",0.017,"LOD",0.075,"LOD",0.03,"LOD","stationary","39.92771763"," -75.1873965"
"24","Morris & Point Breeze",7,2023-07-05 20:24:00,2023-07-12 14:38:00,0.202,"REG",0.37,"REG",0.092,"REG",0.66,"REG",1.324,"REG",0.514,"REG",0.146,"REG",0.039,"REG",0.209,"REG",0.103,"REG",0.118,"REG",0.095,"REG",0.018,"REG",0.009,"REG",0.01,"ND",0.025,"LOD",0.061,"REG",0.023,"LOD",0.086,"REG",0.068,"REG",0.025,"LOD",0.029,"REG",0.15,"REG",0.074,"REG","stationary","39.93094655"," -75.1829941"
"25","24th & Ritner",8,2023-07-05 19:45:00,2023-07-12 15:04:00,0.233,"REG",0.407,"REG",0.107,"REG",0.794,"REG",1.541,"REG",0.627,"REG",0.167,"REG",0.039,"REG",0.248,"REG",0.156,"REG",0.19,"REG",0.167,"REG",0.047,"REG",0.009,"REG",0.018,"REG",0.037,"LOD",0.072,"REG",0.027,"LOD",0.066,"REG",0.085,"REG",0.028,"LOD",0.017,"LOD",0.094,"LOD",0.041,"LOD","stationary","39.92296389"," -75.186874"
"26","26th & Hartranft",9,2023-07-05 14:23:00,2023-07-12 15:21:00,0.367,"REG",0.506,"REG",0.207,"REG",1.402,"REG",2.482,"REG",1.127,"REG",0.275,"REG",0.038,"REG",0.595,"REG",0.395,"REG",0.489,"REG",0.521,"REG",0.148,"REG",0.013,"REG",0.158,"REG",0.132,"REG",0.173,"REG",0.063,"REG",0.463,"REG",0.197,"REG",0.078,"REG",0.006,"ND",0.808,"REG",0.61,"REG","stationary","39.91327125"," -75.1922011"
